label,diagnosis_code,diagnosis_name,support,original_f1,new_f1,delta_f1,original_recall,new_recall,delta_recall,original_precision,new_precision,delta_precision,status
label_427172004,427172004,Premature Ventricular Contractions,155,0.6022,0.5895,-0.0127,0.7226,0.7226,0.0,0.5161,0.4978,-0.0184,MAINTAINED
label_427393009,427393009,Sinus Arrhythmia,373,0.4024,0.4039,0.0015,0.3539,0.3298,-0.0241,0.4664,0.5212,0.0548,MAINTAINED
label_428417006,428417006,Unknown - Verify,55,0.2833,0.2778,-0.0056,0.3091,0.3636,0.0545,0.2615,0.2247,-0.0368,MAINTAINED
label_428750005,428750005,Unknown - Verify,174,0.27,0.2552,-0.0148,0.4655,0.4943,0.0287,0.1901,0.172,-0.0181,MAINTAINED
label_429622005,429622005,Unknown - Verify,269,0.5122,0.5052,-0.007,0.6654,0.632,-0.0335,0.4163,0.4208,0.0045,MAINTAINED
label_445118002,445118002,Unknown - Verify,55,0.4422,0.4805,0.0383,0.8,0.6727,-0.1273,0.3056,0.3737,0.0682,IMPROVED
label_445211001,445211001,Unknown - Verify,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_446358003,446358003,Unknown - Verify,7,0.4615,0.4444,-0.0171,0.4286,0.2857,-0.1429,0.5,1.0,0.5,MAINTAINED
label_446813000,446813000,Unknown - Verify,3,0.0,0.4,0.4,0.0,0.3333,0.3333,0.0,0.5,0.5,IMPROVED
label_47665007,47665007,Right Axis Deviation,129,0.5459,0.5697,0.0238,0.8527,0.7442,-0.1085,0.4015,0.4615,0.0601,IMPROVED
label_49578007,49578007,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_50799005,50799005,Unknown - Verify,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_54016002,54016002,Unknown - Verify,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_54329005,54329005,Unknown - Verify,8,0.2609,0.1579,-0.103,0.375,0.375,0.0,0.2,0.1,-0.1,DEGRADED
label_55827005,55827005,Unknown - Verify,804,0.5048,0.5037,-0.0012,0.6828,0.5547,-0.1281,0.4004,0.4612,0.0608,MAINTAINED
label_55930002,55930002,Unknown - Verify,653,0.5451,0.539,-0.0061,0.657,0.6616,0.0046,0.4658,0.4547,-0.0111,MAINTAINED
label_5609005,5609005,Unknown - Verify,8,0.2857,0.2222,-0.0635,0.5,0.375,-0.125,0.2,0.1579,-0.0421,DEGRADED
label_57054005,57054005,Unknown - Verify,14,0.1818,0.3333,0.1515,0.1429,0.2857,0.1429,0.25,0.4,0.15,IMPROVED
